#0	1	2	3	4	5	6	7	8
#0_FRB	B16_OFF	L17_GRB	F22_OFF	TYPEIA	S20_SN	SLS_S20	Ca-rich	F13_OFF
999	999	999	999	999	2.718	999	999	999
999	999	999	999	999	2.719	999	999	999
999	999	999	999	999	2.727	999	999	999
999	999	999	999	999	2.737	999	999	999
999	999	999	999	999	2.741	999	999	999
999	999	999	999	999	2.771	999	999	999
999	999	999	999	999	2.771	999	999	999
999	999	999	999	999	2.774	999	999	999
999	999	999	999	999	2.776	999	999	999
999	999	999	999	999	2.792	999	999	999
999	999	999	999	999	2.802	999	999	999
999	999	999	999	999	2.805	999	999	999
999	999	999	999	999	2.834	999	999	999
999	999	999	999	999	2.841	999	999	999
999	999	999	999	999	2.845	999	999	999
999	999	999	999	999	2.847	999	999	999
999	999	999	999	999	2.872	999	999	999
999	999	999	999	999	2.882	999	999	999
999	999	999	999	999	2.888	999	999	999
999	999	999	999	999	2.9	999	999	999
999	999	999	999	999	2.905	999	999	999
999	999	999	999	999	2.935	999	999	999
999	999	999	999	999	2.958	999	999	999
999	999	999	999	999	2.96	999	999	999
999	999	999	999	999	2.99	999	999	999
999	999	999	999	999	3.001	999	999	999
999	999	999	999	999	3.004	999	999	999
999	999	999	999	999	3.006	999	999	999
999	999	999	999	999	3.007	999	999	999
999	999	999	999	999	3.013	999	999	999
999	999	999	999	999	3.014	999	999	999
999	999	999	999	999	3.02	999	999	999
999	999	999	999	999	3.027	999	999	999
999	999	999	999	999	3.035	999	999	999
999	999	999	999	999	3.037	999	999	999
999	999	999	999	999	3.041	999	999	999
999	999	999	999	999	3.07	999	999	999
999	999	999	999	999	3.099	999	999	999
999	999	999	999	999	3.11	999	999	999
999	999	999	999	999	3.137	999	999	999
999	999	999	999	999	3.148	999	999	999
999	999	999	999	999	3.161	999	999	999
999	999	999	999	999	3.201	999	999	999
999	999	999	999	999	3.21	999	999	999
999	999	999	999	999	3.264	999	999	999
999	999	999	999	999	3.272	999	999	999
999	999	999	999	999	3.274	999	999	999
999	999	999	999	999	3.275	999	999	999
999	999	999	999	999	3.291	999	999	999
999	999	999	999	999	3.307	999	999	999
999	999	999	999	999	3.307	999	999	999
999	999	999	999	999	3.308	999	999	999
999	999	999	999	999	3.333	999	999	999
999	999	999	999	999	3.336	999	999	999
999	999	999	999	999	3.338	999	999	999
999	999	999	999	999	3.34	999	999	999
999	999	999	999	999	3.353	999	999	999
999	999	999	999	999	3.354	999	999	999
999	999	999	999	999	3.372	999	999	999
999	999	999	999	999	3.378	999	999	999
999	999	999	999	999	3.385	999	999	999
999	999	999	999	999	3.389	999	999	999
999	999	999	999	999	3.392	999	999	999
999	999	999	999	999	3.393	999	999	999
999	999	999	999	999	3.42	999	999	999
999	999	999	999	999	3.42	999	999	999
999	999	999	999	999	3.447	999	999	999
999	999	999	999	999	3.455	999	999	999
999	999	999	999	999	3.457	999	999	999
999	999	999	999	999	3.48	999	999	999
999	999	999	999	999	3.5	999	999	999
999	999	999	999	999	3.503	999	999	999
999	999	999	999	999	3.504	999	999	999
999	999	999	999	999	3.506	999	999	999
999	999	999	999	999	3.507	999	999	999
999	999	999	999	999	3.54	999	999	999
999	999	999	999	999	3.545	999	999	999
999	999	999	999	999	3.547	999	999	999
999	999	999	999	999	3.549	999	999	999
999	999	999	999	999	3.553	999	999	999
999	999	999	999	999	3.579	999	999	999
999	999	999	999	999	3.59	999	999	999
999	999	999	999	999	3.596	999	999	999
999	999	999	999	999	3.605	999	999	999
999	999	999	999	999	3.637	999	999	999
999	999	999	999	999	3.651	999	999	999
999	999	999	999	999	3.681	999	999	999
999	999	999	999	999	3.685	999	999	999
999	999	999	999	999	3.695	999	999	999
999	999	999	999	999	3.706	999	999	999
999	999	999	999	999	3.723	999	999	999
999	999	999	999	999	3.727	999	999	999
999	999	999	999	999	3.73	999	999	999
999	999	999	999	999	3.736	999	999	999
999	999	999	999	999	3.739	999	999	999
999	999	999	999	999	3.745	999	999	999
999	999	999	999	999	3.762	999	999	999
999	999	999	999	999	3.762	999	999	999
999	999	999	999	999	3.766	999	999	999
999	999	999	999	999	3.766	999	999	999
999	999	999	999	999	3.772	999	999	999
999	999	999	999	999	3.787	999	999	999
999	999	999	999	999	3.788	999	999	999
999	999	999	999	999	3.788	999	999	999
999	999	999	999	999	3.8	999	999	999
999	999	999	999	999	3.801	999	999	999
999	999	999	999	999	3.818	999	999	999
999	999	999	999	999	3.819	999	999	999
999	999	999	999	999	3.821	999	999	999
999	999	999	999	999	3.823	999	999	999
999	999	999	999	999	3.83	999	999	999
999	999	999	999	999	3.86	999	999	999
999	999	999	999	999	3.866	999	999	999
999	999	999	999	999	3.901	999	999	999
999	999	999	999	999	3.913	999	999	999
999	999	999	999	999	3.927	999	999	999
999	999	999	999	999	3.96	999	999	999
999	999	999	999	999	3.962	999	999	999
999	999	999	999	999	3.981	999	999	999
999	999	999	999	999	3.982	999	999	999
999	999	999	999	999	3.983	999	999	999
999	999	999	999	999	3.991	999	999	999
999	999	999	999	999	4.039	999	999	999
999	999	999	999	999	4.052	999	999	999
999	999	999	999	999	4.068	999	999	999
999	999	999	999	999	4.068	999	999	999
999	999	999	999	999	4.085	999	999	999
999	999	999	999	999	4.106	999	999	999
999	999	999	999	999	4.112	999	999	999
999	999	999	999	999	4.13	999	999	999
999	999	999	999	999	4.14	999	999	999
999	999	999	999	999	4.148	999	999	999
999	999	999	999	999	4.154	999	999	999
999	999	999	999	999	4.181	999	999	999
999	999	999	999	999	4.185	999	999	999
999	999	999	999	999	4.207	999	999	999
999	999	999	999	999	4.213	999	999	999
999	999	999	999	999	4.267	999	999	999
999	999	999	999	999	4.268	999	999	999
999	999	999	999	999	4.285	999	999	999
999	999	999	999	999	4.311	999	999	999
999	999	999	999	999	4.336	999	999	999
999	999	999	999	999	4.346	999	999	999
999	999	999	999	999	4.355	999	999	999
999	999	999	999	999	4.375	999	999	999
999	999	999	999	999	4.377	999	999	999
999	999	999	999	999	4.387	999	999	999
999	999	999	999	999	4.411	999	999	999
999	999	999	999	999	4.439	999	999	999
999	999	999	999	999	4.448	999	999	999
999	999	999	999	999	4.449	999	999	999
999	999	999	999	999	4.452	999	999	999
999	999	999	999	999	4.46	999	999	999
999	999	999	999	999	4.499	999	999	999
999	999	999	999	999	4.5	999	999	999
999	999	999	999	999	4.526	999	999	999
999	999	999	999	999	4.529	999	999	999
999	999	999	999	999	4.533	999	999	999
999	999	999	999	999	4.539	999	999	999
999	999	999	999	999	4.543	999	999	999
999	999	999	999	999	4.554	999	999	999
999	999	999	999	999	4.562	999	999	999
999	999	999	999	999	4.575	999	999	999
999	999	999	999	999	4.589	999	999	999
999	999	999	999	999	4.59	999	999	999
999	999	999	999	999	4.639	999	999	999
999	999	999	999	999	4.642	999	999	999
999	999	999	999	999	4.646	999	999	999
999	999	999	999	999	4.649	999	999	999
999	999	999	999	999	4.655	999	999	999
999	999	999	999	999	4.674	999	999	999
999	999	999	999	999	4.699	999	999	999
999	999	999	999	999	4.701	999	999	999
999	999	999	999	999	4.702	999	999	999
999	999	999	999	999	4.771	999	999	999
999	999	999	999	999	4.772	999	999	999
999	999	999	999	999	4.774	999	999	999
999	999	999	999	999	4.788	999	999	999
999	999	999	999	999	4.818	999	999	999
999	999	999	999	999	4.818	999	999	999
999	999	999	999	999	4.821	999	999	999
999	999	999	999	999	4.841	999	999	999
999	999	999	999	999	4.842	999	999	999
999	999	999	999	999	4.847	999	999	999
999	999	999	999	999	4.863	999	999	999
999	999	999	999	999	4.868	999	999	999
999	999	999	999	999	4.878	999	999	999
999	999	999	999	999	4.882	999	999	999
999	999	999	999	999	4.887	999	999	999
999	999	999	999	999	4.898	999	999	999
999	999	999	999	999	4.908	999	999	999
999	999	999	999	999	4.914	999	999	999
999	999	999	999	999	4.927	999	999	999
999	999	999	999	999	4.947	999	999	999
999	999	999	999	999	4.951	999	999	999
999	999	999	999	999	4.951	999	999	999
999	999	999	999	999	4.953	999	999	999
999	999	999	999	999	4.975	999	999	999
999	999	999	999	999	4.982	999	999	999
999	999	999	999	999	4.985	999	999	999
999	999	999	999	999	4.987	999	999	999
999	999	999	999	999	5.003	999	999	999
999	999	999	999	999	5.025	999	999	999
999	999	999	999	999	5.067	999	999	999
999	999	999	999	999	5.081	999	999	999
999	999	999	999	999	5.082	999	999	999
999	999	999	999	999	5.121	999	999	999
999	999	999	999	999	5.14	999	999	999
999	999	999	999	999	5.156	999	999	999
999	999	999	999	999	5.157	999	999	999
999	999	999	999	999	5.176	999	999	999
999	999	999	999	999	5.177	999	999	999
999	999	999	999	999	5.187	999	999	999
999	999	999	999	999	5.203	999	999	999
999	999	999	999	999	5.205	999	999	999
999	999	999	999	999	5.226	999	999	999
999	999	999	999	999	5.236	999	999	999
999	999	999	999	999	5.252	999	999	999
999	999	999	999	999	5.253	999	999	999
999	999	999	999	999	5.266	999	999	999
999	999	999	999	999	5.276	999	999	999
999	999	999	999	999	5.286	999	999	999
999	999	999	999	999	5.368	999	999	999
999	999	999	999	999	5.374	999	999	999
999	999	999	999	999	5.381	999	999	999
999	999	999	999	999	5.383	999	999	999
999	999	999	999	999	5.394	999	999	999
