wavelength flux fluxe
3.613002602797670988e+03 3.578589124069990746e+00 1.418448534680088358e+00
3.614077050071111898e+03 3.997455781289831478e+00 1.501034227181358816e+00
3.615151704316758696e+03 1.243414482256009812e+00 1.442541125123438350e+00
3.616226187962949552e+03 1.860296191984801562e+00 1.593920063149685040e+00
3.617300773628673142e+03 2.238680591153343169e+00 1.735391725087035875e+00
3.618375416820814280e+03 1.680141534166680772e+00 1.692110160284050036e+00
3.619450159945164160e+03 2.723728561148365923e+00 1.796564325636067494e+00
3.620524843694842730e+03 3.540728432459082087e-01 1.700241241325521235e+00
3.621599524516717338e+03 2.890424637837401889e+00 1.779285973610410077e+00
3.622674300627084904e+03 6.149916122171063648e+00 1.830555225252272766e+00
3.623749621669122917e+03 2.877379332538871903e+00 1.759191776914169836e+00
3.624823966465436570e+03 1.687840834231568055e+00 1.623764875679512221e+00
3.625898758881639878e+03 2.651070108421147431e+00 1.717696410986397249e+00
3.626973712922045706e+03 1.012275937827589400e+00 1.549949394396440638e+00
3.628048619573283759e+03 1.933167479228975472e+00 1.660046199663311572e+00
3.629123601968532057e+03 2.575137746240925729e+00 1.779927809035604991e+00
3.630198576230073741e+03 7.038779363666928468e+00 1.987615459057390010e+00
3.631273708571396128e+03 4.656728998850848456e+00 1.933785384297638910e+00
3.632348182077135334e+03 -1.566488831709266005e+00 1.763502239999112264e+00
3.633423856745708690e+03 5.480061165516586286e+00 2.011661422589758441e+00
3.634498338061503091e+03 4.604145186588239902e+00 1.944037808587608218e+00
3.635574088273172492e+03 7.466672735276161932e-01 1.845761585081308720e+00
3.636648736286197163e+03 3.835800666447880314e+00 1.936268200324088307e+00
3.637724521348680810e+03 2.397218518481708305e+00 1.901022698497321306e+00
3.638799770085470755e+03 -6.925669185473181111e-01 1.734521139127689793e+00
3.639875069543995778e+03 4.302814284847189974e+00 1.962961119695921131e+00
3.640950429069054280e+03 1.402584622680022930e+00 1.813056481525286312e+00
3.642025825360153704e+03 3.132977622862062272e+00 1.924963611934231045e+00
3.643102454060712716e+03 5.434895616794310075e-02 1.813480572638318966e+00
3.644176097874732932e+03 -3.626256327359160814e+00 1.583629617605225359e+00
3.645252260904037485e+03 2.776674421383939162e+00 1.765427235088139035e+00
3.646327514809109289e+03 -4.272484323202662138e-01 1.653808727117246358e+00
3.647403089768534301e+03 -9.295944152142116002e-01 1.713004597158162667e+00
3.648478598183063696e+03 -1.198036804819421208e+00 1.770621058603916831e+00
3.649554217700441768e+03 2.832347891455100797e+00 1.987417592761458796e+00
3.650629853405454014e+03 4.311441204663426952e+00 2.144168705852389500e+00
3.651705462391490528e+03 5.930274791158779202e+00 2.266259812194418632e+00
3.652781258482933026e+03 2.957590110452022747e-02 1.968137651406089539e+00
3.653856927758563415e+03 4.881340802497822651e+00 2.034738986778528602e+00
3.654932761809260683e+03 3.136095617836284877e+00 1.983847574278716053e+00
3.656008438636932624e+03 9.190978976709220927e-01 1.822128631883084271e+00
3.657083075090829425e+03 9.325239562299985963e+00 2.118530748577842182e+00
3.658160169974134533e+03 2.633951371027908106e+00 1.759833824224603438e+00
3.659236980278027659e+03 1.978634744306484672e+00 1.732712157401415265e+00
3.660312003999517856e+03 3.567400478651117091e+00 1.810523683778893833e+00
3.661387880748973657e+03 3.357497809810588318e+00 1.714169621648162556e+00
3.662463877014877653e+03 5.627450445677448787e-01 1.703793921755416108e+00
3.663539850125171597e+03 -2.813636437021891923e-01 1.633330273274690159e+00
3.664615878463771878e+03 6.452701302042692433e+00 1.857078911860190029e+00
3.665691999894679157e+03 -1.795067386125162257e+00 1.499006990850970666e+00
3.666767968858341192e+03 3.550040246224122065e+00 1.705680568080191417e+00
3.667844342591314216e+03 -1.617761114976232095e+00 1.289678280855269810e+00
3.668920351147428846e+03 1.446344617234232022e+00 1.421420983834292828e+00
3.669996666938013732e+03 1.456401475229025522e-01 1.309832682063400755e+00
3.671072765394481394e+03 1.406624412415912406e+00 1.322132529498917020e+00
3.672149143438980900e+03 1.419548583276835307e+00 1.359289378152728212e+00
3.673225260321693440e+03 4.217030627807649701e+00 1.534199771937083012e+00
3.674301784319321996e+03 3.779428744259974327e+00 1.444285172685307206e+00
3.675378084343312366e+03 1.121499459877800309e+00 1.341833144358549612e+00
3.676454538599288298e+03 5.956319990850013291e+00 1.484328821494198314e+00
3.677530835031363040e+03 3.231525232595260810e+00 1.379597936302331185e+00
3.678607415210908584e+03 1.808396994478390418e+00 1.327402161333229413e+00
