wavelength flux err
3.712000000000000000e+03 5.808064397854667549e-01 3.006834818283675090e-02
3.713000000000000000e+03 5.953752082796160972e-01 3.020262126771919992e-02
3.714000000000000000e+03 5.916423907145583749e-01 2.994800820590864596e-02
3.715000000000000000e+03 6.016319562533701815e-01 2.987291121498037230e-02
3.716000000000000000e+03 6.370951003104281529e-01 3.004479266256169373e-02
3.717000000000000000e+03 6.336237778932083398e-01 2.973411473306903155e-02
3.718000000000000000e+03 6.113655511820461630e-01 2.936899447932011381e-02
3.719000000000000000e+03 5.838146131356115598e-01 2.834589452581834368e-02
3.720000000000000000e+03 5.772327274674690090e-01 2.864851344441566444e-02
3.721000000000000000e+03 5.966829329157445905e-01 2.823283848354103676e-02
3.722000000000000000e+03 5.684806124942186623e-01 2.811924349087030484e-02
3.723000000000000000e+03 5.939320641913753418e-01 2.857609535497953462e-02
3.724000000000000000e+03 5.777509010972845527e-01 2.886873645981549372e-02
3.725000000000000000e+03 5.543069731578312842e-01 2.903308938252817731e-02
3.726000000000000000e+03 5.791207212713818109e-01 2.922748618960965480e-02
3.727000000000000000e+03 6.007819538510156265e-01 2.987130506640395949e-02
3.728000000000000000e+03 5.871801477116000978e-01 2.979585995159438755e-02
3.729000000000000000e+03 5.767457359201826339e-01 2.896621993248575319e-02
3.730000000000000000e+03 5.648729169735999811e-01 2.976296041609505921e-02
3.731000000000000000e+03 6.321260352290165585e-01 2.947021328808274374e-02
3.732000000000000000e+03 5.864564990830719582e-01 2.942845263749195237e-02
3.733000000000000000e+03 5.906633832581923427e-01 2.951954996794625696e-02
3.734000000000000000e+03 6.016668665688308382e-01 2.893924534990497538e-02
3.735000000000000000e+03 6.025327681771983634e-01 2.819566100451403878e-02
3.736000000000000000e+03 5.470923057518705113e-01 2.742792302620325126e-02
3.737000000000000000e+03 5.316428902399032985e-01 2.823641959489728639e-02
3.738000000000000000e+03 6.037065082102371916e-01 2.889760123377082754e-02
3.739000000000000000e+03 6.274900436623325195e-01 2.881217073571810255e-02
3.740000000000000000e+03 5.772235117812619665e-01 2.915983486804965205e-02
3.741000000000000000e+03 5.750619387253402826e-01 2.887624684561064872e-02
3.742000000000000000e+03 5.748524112534427744e-01 2.827774869086894030e-02
3.743000000000000000e+03 5.682443499034453005e-01 2.762741453366335254e-02
3.744000000000000000e+03 5.506370081215132828e-01 2.769473311514299499e-02
3.745000000000000000e+03 5.424827209134303052e-01 2.807649448514960150e-02
3.746000000000000000e+03 5.631562339063121980e-01 2.728273367649045045e-02
3.747000000000000000e+03 5.357099940322083143e-01 2.581655197663180676e-02
3.748000000000000000e+03 5.045873404276968177e-01 2.644930007684733603e-02
3.749000000000000000e+03 5.474045833799811023e-01 2.686358133971776876e-02
3.750000000000000000e+03 5.806907334105974039e-01 2.719948369086884823e-02
3.751000000000000000e+03 6.099912843899470971e-01 2.727085594186031206e-02
3.752000000000000000e+03 6.446193387395495744e-01 2.773011323470368425e-02
3.753000000000000000e+03 6.345166442909692117e-01 2.774896164501557821e-02
3.754000000000000000e+03 5.975612494472420932e-01 2.690540287718473991e-02
3.755000000000000000e+03 5.453736216638997991e-01 2.639175984732516911e-02
3.756000000000000000e+03 5.382787291950694719e-01 2.716596028036227448e-02
3.757000000000000000e+03 6.130889257193576913e-01 2.697581672417244045e-02
3.758000000000000000e+03 6.076458059514481258e-01 2.641511576828201383e-02
3.759000000000000000e+03 5.896541407769403387e-01 2.585872351859326568e-02
3.760000000000000000e+03 5.747181362519244718e-01 2.615892601176427607e-02
3.761000000000000000e+03 5.910900211789298364e-01 2.609357172446583745e-02
3.762000000000000000e+03 5.958493294284895603e-01 2.586125751772517384e-02
3.763000000000000000e+03 5.965501535338726402e-01 2.584886711574212875e-02
3.764000000000000000e+03 5.553560123124261505e-01 2.518588250040362103e-02
3.765000000000000000e+03 5.511469156826658278e-01 2.535835629408669800e-02
3.766000000000000000e+03 5.907018857138371937e-01 2.537174904059038075e-02
3.767000000000000000e+03 5.947756613013246429e-01 2.534903883703710017e-02
3.768000000000000000e+03 6.042442560173040267e-01 2.560019347260684627e-02
3.769000000000000000e+03 6.135677320864274531e-01 2.555654899494810145e-02
3.770000000000000000e+03 5.867464016888989109e-01 2.539939741350192431e-02
3.771000000000000000e+03 5.953654037210167616e-01 2.584096522489252867e-02
3.772000000000000000e+03 6.327222364647070441e-01 2.576329370848887829e-02
3.773000000000000000e+03 5.947592945210790072e-01 2.601234502375150692e-02
3.774000000000000000e+03 6.089498178189245436e-01 2.630973813214139076e-02
3.775000000000000000e+03 6.113725366287268148e-01 2.587414529913939151e-02
3.776000000000000000e+03 5.711437967599422016e-01 2.554344785549979291e-02
3.777000000000000000e+03 5.641066273952513033e-01 2.543983398765505000e-02
3.778000000000000000e+03 5.584385011095831519e-01 2.555413701682828290e-02
3.779000000000000000e+03 5.688772225117852965e-01 2.554591732285815125e-02
3.780000000000000000e+03 5.676548063720397996e-01 2.524403122451349818e-02
3.781000000000000000e+03 5.662688432538679484e-01 2.544219812418659771e-02
3.782000000000000000e+03 5.800687653534404298e-01 2.537108364994305684e-02
3.783000000000000000e+03 5.889339679261076377e-01 2.533176225510138865e-02
3.784000000000000000e+03 5.887577215595314328e-01 2.504063031261204511e-02
3.785000000000000000e+03 5.649869695401038561e-01 2.480062188044853191e-02
3.786000000000000000e+03 5.474089019147804214e-01 2.523556581844721425e-02
3.787000000000000000e+03 5.797231594610368077e-01 2.501739567182850038e-02
3.788000000000000000e+03 5.971229162996997131e-01 2.434928838022402953e-02
3.789000000000000000e+03 5.545014746245089388e-01 2.420168292250137951e-02
3.790000000000000000e+03 5.477581949317544829e-01 2.491751613638275992e-02
3.791000000000000000e+03 5.876181010303695995e-01 2.465303600746742568e-02
3.792000000000000000e+03 5.668343119310583766e-01 2.523926023229927998e-02
3.793000000000000000e+03 5.863052739247547329e-01 2.490239897680396330e-02
3.794000000000000000e+03 5.895984824308844185e-01 2.454744634321420413e-02
3.795000000000000000e+03 5.730435251130797658e-01 2.423515135168568396e-02
3.796000000000000000e+03 5.824681229445658470e-01 2.454457939624295898e-02
3.797000000000000000e+03 6.195155746657363682e-01 2.466053388997524118e-02
